"设备ID","事件序号","事件时间","事件对象","事件类型","设备方向"
00000004,1,2019/08/16-10:19:20,"气象站","设备在线","西"
4,2,2019/08/16-10:56:47,"气象站","设备在线","西"
5,3,2019/08/16-11:38:53,"能见度","设备在线","西"
6,4,2019/08/16-11:38:53,"路感","设备在线","西"
1,5,2019/08/16-11:49:06,"终端服务器","","东"
3,6,2019/08/16-11:49:06,"机柜","前门锁开","无"
3,7,2019/08/16-11:49:06,"机柜","后门锁开","无"
3,8,2019/08/16-11:49:06,"机柜","设备进水","无"
3,9,2019/08/16-11:49:06,"机柜","风扇开","无"
3,10,2019/08/16-11:49:06,"机柜","加热器开","无"
1,14,2019/08/21-14:31:31,"补光灯","","东"
1,15,2019/08/21-14:43:04,"相机","网络离线","南"
1,16,2019/08/21-15:24:47,"相机","网络离线","南"
1,17,2019/08/21-15:45:52,"相机","网络离线","南"
1,18,2019/08/21-16:26:51,"相机","网络离线","东"
1,19,2019/08/21-16:38:15,"相机","网络在线","东"
00000005,20,2019/08/23-10:18:45,"相机","网络离线","南"
5,21,2019/08/23-11:02:21,"相机","网络在线","南"
5,22,2019/08/23-11:29:33,"相机","网络离线","南"
5,23,2019/08/23-13:42:34,"相机","网络在线","南"
5,24,2019/08/23-13:57:26,"相机","网络离线","南"
5,25,2019/08/23-14:24:05,"相机","网络在线","南"
5,27,2019/08/23-17:09:14,"相机","网络在线","南"
5,28,2019/08/23-17:11:27,"相机","网络离线","南"
